add-none,2,10,40,151216,3780,0
add-none,2,100,400,172872,432,0
add-none,2,1000,4000,196862,49,256
add-none,2,10000,40000,579352,14,-1774
add-none,2,100000,400000,4722153,11,-15623
add-none,4,10,80,178220,2227,0
add-none,4,100,800,191476,239,0
add-none,4,1000,8000,231980,28,-300
add-none,4,10000,80000,1251734,15,-2603
add-none,4,100000,800000,12004966,15,-68099
add-none,8,10,160,300441,1877,-3
add-none,8,100,1600,320406,200,3
add-none,8,1000,16000,429435,26,-720
add-none,8,10000,160000,2574174,16,-843
add-none,8,100000,1600000,24393090,15,-21102
add-none,12,10,240,361131,1504,-3
add-none,12,100,2400,350299,145,0
add-none,12,1000,24000,496476,20,239
add-none,12,10000,240000,4061436,16,-3926
add-none,12,100000,2400000,37471437,15,-16330
add-yield,2,10,40,144967,3624,0
add-yield,4,10,80,201739,2521,0
add-yield,8,10,160,330600,2066,10
add-yield,12,10,240,373721,1557,1
add-yield,2,100,400,176065,440,-51
add-yield,4,100,800,232805,291,95
add-yield,8,100,1600,336422,210,76
add-yield,12,100,2400,458525,191,312
add-yield,2,1000,4000,840992,210,-181
add-yield,4,1000,8000,1154423,144,272
add-yield,8,1000,16000,1822643,113,-83
add-yield,12,1000,24000,2549907,106,-314
add-yield,2,10000,40000,7390051,184,-85
add-yield,4,10000,80000,8911315,111,-1162
add-yield,8,10000,160000,16076893,100,-3056
add-yield,12,10000,240000,24054426,100,-477
add-yield,2,100000,400000,70625632,176,-5673
add-yield,4,100000,800000,75437625,94,-3719
add-yield,8,100000,1600000,159748877,99,-22151
add-yield,12,100000,2400000,232272306,96,-14118
add-none,1,100,200,121135,605,0
add-none,1,1000,2000,137060,68,0
add-none,1,10000,20000,271542,13,0
add-none,1,100000,200000,1528933,7,0
add-none,1,1000000,2000000,13892682,6,0
add-none,2,100,400,164570,411,0
add-none,2,1000,4000,188850,47,0
add-none,2,10000,40000,625526,15,-840
add-none,2,100000,400000,4812338,12,-10607
add-none,2,1000000,4000000,46981310,11,-230260
add-none,4,100,800,213568,266,0
add-none,4,1000,8000,214893,26,-246
add-none,4,10000,80000,1327700,16,-3959
add-none,4,100000,800000,10545448,13,-43107
add-none,4,1000000,8000000,118623231,14,-244945
add-yield,1,100,200,167812,839,0
add-yield,1,1000,2000,634673,317,0
add-yield,1,10000,20000,4667019,233,0
add-yield,1,100000,200000,46132010,230,0
add-yield,1,1000000,2000000,458280575,229,0
add-yield,2,100,400,206496,516,13
add-yield,2,1000,4000,826628,206,174
add-yield,2,10000,40000,7357033,183,-376
add-yield,2,100000,400000,70699520,176,144
add-yield,2,1000000,4000000,599519818,149,-20165
add-yield,4,100,800,283945,354,26
add-yield,4,1000,8000,1149336,143,289
add-yield,4,10000,80000,10149220,126,911
add-yield,4,100000,800000,96951468,121,-20488
add-yield,4,1000000,8000000,961631514,120,-173311
add-none,1,100,200,133695,668,0
add-none,1,1000,2000,160335,80,0
add-none,1,10000,20000,282745,14,0
add-none,1,100000,200000,1565631,7,0
add-yield-m,2,10000,40000,16623101,415,0
add-yield-m,4,10000,80000,59618542,745,0
add-yield-m,8,10000,160000,187391933,1171,0
add-yield-m,12,10000,240000,233714347,973,0
add-yield-c,2,10000,40000,12818456,320,0
add-yield-c,4,10000,80000,35428466,442,0
add-yield-c,8,10000,160000,90579220,566,0
add-yield-c,12,10000,240000,129772178,540,0
add-yield-s,2,10000,40000,13970875,349,0
add-yield-s,4,10000,80000,51082430,638,0
add-yield-s,8,1000,16000,19805076,1237,0
add-yield-s,12,1000,24000,32762673,1365,0
add-m,1,10000,20000,803443,40,0
add-m,2,10000,40000,2378927,59,0
add-m,4,10000,80000,16114194,201,0
add-m,8,10000,160000,27253978,170,0
add-m,12,10000,240000,36263253,151,0
add-c,1,10000,20000,517177,25,0
add-c,2,10000,40000,2356341,58,0
add-c,4,10000,80000,7766200,97,0
add-c,8,10000,160000,15175336,94,0
add-c,12,10000,240000,27641954,115,0
add-s,1,10000,20000,459252,22,0
add-s,2,10000,40000,2802966,70,0
add-s,4,10000,80000,13287357,166,0
add-s,8,10000,160000,48409992,302,0
add-s,12,10000,240000,107227375,446,0
