list-none-none,1,10,0,30,234978,7832
list-none-none,1,100,0,300,242865,809
list-none-none,1,1000,0,3000,3817462,1272
list-none-none,1,10000,0,30000,611287069,20376
list-none-none,1,20000,0,60000,3203521568,53392
list-none-none,2,10,60,307559,5125
list-none-none,2,100,0,600,496977,828
list-none-none,2,1000,6000,40860892,6810
list-none-none,4,10,0,120,295677,2463
list-none-none,4,100,1200,1093933,911
list-none-none,4,1000,0,12000,63968265,5330
list-none-none,8,10,0,240,404265,1684
list-none-none,8,100,2400,2737204,1140
list-none-none,8,1000,0,24000,74338344,3097
list-none-none,12,10,360,1040710,2890
list-none-none,12,100,3600,6137763,1704
list-i-none,2,2,0,12,231574,19297
list-i-none,2,4,0,24,209686,8736
list-i-none,2,8,0,48,230466,4801
list-i-none,2,16,0,96,232855,2425
list-i-none,2,32,0,192,414644,2159
list-i-none,4,2,0,24,280266,11677
list-i-none,4,4,0,48,257503,5364
list-i-none,4,8,0,96,271588,2829
list-i-none,4,16,192,334140,1740
list-i-none,8,2,0,48,447532,9323
list-i-none,8,4,0,96,369151,3845
list-i-none,8,8,0,192,343053,1786
list-i-none,8,16,384,1633363,4253
list-i-none,12,2,0,72,535569,7438
list-i-none,12,4,0,144,1157825,8040
list-i-none,12,8,0,288,1151143,3997
list-i-none,12,16,576,1204422,2091
list-d-none,2,2,0,12,189065,15755
list-d-none,2,4,0,24,189902,7912
list-d-none,2,8,0,48,194477,4051
list-d-none,2,16,0,96,194528,2026
list-d-none,2,32,192,214759,1118
list-d-none,4,2,24,264348,11014
list-d-none,4,4,0,48,232010,4833
list-d-none,4,8,0,96,243235,2533
list-d-none,4,16,0,192,285485,1486
list-d-none,8,2,0,48,380991,7937
list-d-none,8,4,0,96,864934,9009
list-d-none,8,8,0,192,944780,4920
list-d-none,8,16,0,384,391447,1019
list-d-none,12,2,0,72,1534586,21313
list-d-none,12,4,144,1063488,7385
list-d-none,12,8,288,1023438,3553
list-d-none,12,16,0,576,717350,1245
list-il-none,2,2,0,12,250485,20873
list-il-none,2,4,0,24,228740,9530
list-il-none,2,8,0,48,209497,4364
list-il-none,2,16,0,96,240261,2502
list-il-none,2,32,0,192,436606,2273
list-il-none,4,2,0,24,250536,10439
list-il-none,4,4,48,278985,5812
list-il-none,4,8,96,287625,2996
list-il-none,4,16,0,192,451043,2349
list-il-none,8,2,0,48,878340,18298
list-il-none,8,4,96,1157614,12058
list-il-none,8,8,192,867992,4520
list-il-none,8,16,384,440320,1146
list-il-none,12,2,72,454558,6313
list-il-none,12,4,144,558065,3875
list-il-none,12,16,576,713523,1238
list-dl-none,2,2,0,12,276546,23045
list-dl-none,2,4,24,248819,10367
list-dl-none,2,8,0,48,243901,5081
list-dl-none,2,16,0,96,313064,3261
list-dl-none,2,32,0,192,494638,2576
list-dl-none,4,2,0,24,248026,10334
list-dl-none,4,4,0,48,295953,6165
list-dl-none,4,8,96,276158,2876
list-dl-none,4,16,192,460168,2396
list-dl-none,8,2,0,48,389304,8110
list-dl-none,8,4,96,825243,8596
list-dl-none,8,8,0,192,377336,1965
list-dl-none,8,16,384,396700,1033
list-dl-none,12,2,0,72,1026026,14250
list-dl-none,12,4,0,144,1047527,7274
list-dl-none,12,8,288,1003337,3483
list-dl-none,12,16,576,599513,1040
list-i-m,12,32,0,1152,1963006,1703
list-d-m,12,32,0,1152,1830260,1588
list-il-m,12,32,0,1152,7976232,6923
list-dl-m,12,32,0,1152,6413827,5567
list-i-s,12,32,0,1152,1356800,1177
list-d-s,12,32,0,1152,1088559,944
list-il-s,12,32,0,1152,7444822,6462
list-dl-s,12,32,0,1152,7949274,6900
list-none-none,1,1000,0,3000,3884597,1294
list-none-m,1,1000,0,3000,3842329,1280
list-none-m,2,1000,0,6000,21783345,3630
list-none-m,4,1000,0,12000,73230531,6102
list-none-m,8,1000,0,24000,319574382,13315
list-none-m,12,1000,0,36000,740398915,20566
list-none-m,16,1000,0,48000,1349233541,28109
list-none-m,24,1000,0,72000,3215782668,44663
list-none-s,1,1000,0,3000,4066084,1355
list-none-s,2,1000,0,6000,8027306,1337
list-none-s,4,1000,0,12000,54441460,4536
list-none-s,8,1000,0,24000,344393282,14349
list-none-s,12,1000,0,36000,581726581,16159
list-none-s,16,1000,0,48000,867832096,18079
list-none-s,24,1000,0,72000,2532954352,35179
